Address,Price
"8530 Spring Green Dr, Houston, TX 77095","$265,000"
"6003 Beaudry Dr, Houston, TX 77035","$309,900"
"14815 Waterside View Ct, Houston, TX 77044","$499,000"
"5902 Lansdown Dr, Houston, TX 77049","$189,900"
"2918 Skypark Dr, Houston, TX 77082","$309,900"
"4122 Echo Mountain Dr, Kingwood, TX 77345","$379,000"
"15715 Stoney Fork Dr, Houston, TX 77084","$329,900"
"5614 Charlestown Colony Dr, Houston, TX 77084","$300,000"
"15911 Mill Hollow Dr, Houston, TX 77084","$334,500"
"918 Willow West Dr, Houston, TX 77073","$259,000"
"615 Coolwood Dr, Houston, TX 77013","$220,000"
"14315 Darschelle Ct, Houston, TX 77069","$625,000"
"11810 Sagedowne Ln, Houston, TX 77089","$319,999"
"8142 Barnes Ridge Ln, Houston, TX 77072","$225,999"
"705 Main St UNIT 310, Houston, TX 77002","$279,900"
"3511 Mayfield Oaks Ln, Houston, TX 77088","$285,500"
"14017 Northline Lake Dr, Houston, TX 77044","$540,000"
"9623 Wellsworth Dr, Houston, TX 77083","$269,900"
"2627 W Paul Quinn St #A, Houston, TX 77091","$329,000"
"5619 Summer Snow Dr, Houston, TX 77041","$739,900"
"4307 Appalachian Trl, Kingwood, TX 77345","$294,500"
"3706 Sand Myrtle Dr, Houston, TX 77059","$595,000"
"8210 Saylynn Ln, Houston, TX 77075","$785,000"
"11230 Riderwood Dr, Houston, TX 77099","$210,000"
"6929 Thrush Dr, Houston, TX 77087","$250,000"
"4702 Wild Bluebonnet Way, Houston, TX 77084","$310,000"
"5718 Pine Arbor Dr, Houston, TX 77066","$245,000"
"5511 Lake Place Dr, Houston, TX 77041","$675,000"
"2122 Millhouse Rd, Houston, TX 77073","$215,000"
"6911 Amber Ct, Houston, TX 77069","$575,000"
"100 Carnarvon Dr, Houston, TX 77024","$36,000,000"
"10514 Kirkhill Dr, Houston, TX 77089","$239,000"
"7214 Shady Moss Ln, Houston, TX 77040","$190,000"
"7715 Lone Meadow Ct, Houston, TX 77095","$329,000"
"12711 Westpark Dr, Houston, TX 77082","$290,000"
"16930 Burke Lake Ln, Houston, TX 77044","$584,857"
"1735 Bolsover St, Houston, TX 77005","$925,000"
"14619 Sierra Garden Dr, Houston, TX 77069","$249,500"
"2565 Marilee Ln APT 1, Houston, TX 77057","$160,000"
"1426 Ash Meadow Dr, Houston, TX 77090","$330,000"
"5226 Breckenridge Dr, Houston, TX 77066","$190,000"
"819 Ramada Dr, Houston, TX 77062","$285,000"
"6180 W Airport Blvd #14, Houston, TX 77035","$178,000"
"13600 Breton Ridge St BUILDING 20C, Houston, TX 77070","$247,000"
"4837 Beechaven Dr, Houston, TX 77053","$229,000"
"3219 Ashlock Dr, Houston, TX 77082","$380,000"
"7107 Harmony Cv, Houston, TX 77036","$339,900"
"12935 Ambrose St, Houston, TX 77045","$22,000"
"2401 Crawford St #B307, Houston, TX 77004","$319,000"
"8911 Sunnywood Dr, Houston, TX 77088","$259,000"
"9816 Masterson St, Houston, TX 77029","$224,900"
"1010 Rosine St APT 13, Houston, TX 77019","$275,000"
"9809 Richmond Ave UNIT C8, Houston, TX 77042","$135,000"
"6111 Westover St, Houston, TX 77033","$114,900"
"1420 Weiss St, Houston, TX 77009","$359,900"
"1919 Place Rebecca Ln #H8, Houston, TX 77090","$152,000"
"9711 Derrik Dr, Houston, TX 77080","$299,000"
"13510 Somersworth Dr, Houston, TX 77041","$289,900"
"9011 Linkmeadow Ln, Houston, TX 77025","$649,900"
"7900 Westheimer Rd APT 224, Houston, TX 77063","$105,000"
"1721 Tuam St, Houston, TX 77004","$304,900"
"4046 Belle Park Dr, Houston, TX 77072","$139,900"
"11935 Greensbrook Forest Dr, Houston, TX 77044","$138,000"
"4230 Dragonwick Dr, Houston, TX 77045","$129,500"
"5524 Shadow Crest St, Houston, TX 77096","$350,000"
"325 Delz St, Houston, TX 77018","$500,000"
"12131 Overcup Dr, Houston, TX 77024","$1,950,000"
"15022 Wunderlu St, Houston, TX 77069","$380,000"
"12422 Rip Van Winkle Dr, Houston, TX 77024","$1,095,000"
"3011 Gillespie St, Houston, TX 77020","$469,990"
"1515 Blairmont Ln, Houston, TX 77062","$299,900"
"3525 Sage Rd APT 917, Houston, TX 77056","$185,000"
"2100 Tanglewilde St APT 263, Houston, TX 77063","$129,000"
"4106 Brook Shadow Dr, Kingwood, TX 77345","$335,000"
"2425 Augusta Dr APT 58, Houston, TX 77057","$250,000"
"7022 Sharpcrest St, Houston, TX 77074","$380,000"
"15406 Appleridge Dr, Missouri City, TX 77489","$234,900"
"2496 Bering Dr #2496, Houston, TX 77057","$269,990"
"1422 Fairview St, Houston, TX 77006","$430,000"
"3402 Any Way, Kingwood, TX 77339","$279,000"
"4122 Botany Ln, Houston, TX 77047","$119,000"
"3131 Sw Fwy #E45, Houston, TX 77098","$159,000"
"9090 S Braeswood Blvd APT 77, Houston, TX 77074","$59,900"
"5702 Comal Park Ct, Houston, TX 77059","$1,210,000"
"811 Threadneedle St APT 281, Houston, TX 77079","$185,000"
"12611 Jasmine Fld, Houston, TX 77066","$319,999"
"12315 Dapple Ln, Houston, TX 77065","$265,000"
"2502 Lake Gardens Ct, Humble, TX 77339","$750,000"
"4417 June St, Houston, TX 77016","$287,900"
"2107 Riverway Oak Ct, Kingwood, TX 77345","$529,000"
"10055 Sharpton Dr, Houston, TX 77038","$200,000"
"18226 Ennsbury Dr, Houston, TX 77084","$630,000"
"4703 Smooth Oak Ln, Houston, TX 77053","$228,000"
"2804 Kipling St, Houston, TX 77098","$550,000"
"9203 Richland Dr, Houston, TX 77078","$159,900"
"3215 Victorian Manor Ln, Houston, TX 77047","$249,900"
"9403 Winsome Ln, Houston, TX 77063","$240,000"
"1106 Mabry Ml, Houston, TX 77062","$370,000"
"6715 Allegheny St, Houston, TX 77021","$320,000"
"2001 Holcombe Blvd UNIT 3003, Houston, TX 77030","$399,900"
"2510 Travis St UNIT 102, Houston, TX 77006","$219,900"
"8606 Anacortes St, Houston, TX 77061","$229,900"
"12231 Gladewick Dr, Houston, TX 77077","$345,000"
"1516 Bay Area Blvd APT J6, Houston, TX 77058","$122,000"
"2802 Morrison St #407, Houston, TX 77009","$250,000"
"2123 Bidwell Dr, Houston, TX 77018","$379,000"
"10559 Walnut Glen Dr, Houston, TX 77064","$275,000"
"5122 Higgins St, Houston, TX 77033","$159,999"
"10422 Lyndon Meadows Dr, Houston, TX 77095","$299,000"
"5122 W Bellfort Ave, Houston, TX 77096","$349,000"
"3210 Echo Mountain Dr, Kingwood, TX 77345","$353,000"
"8418 Mission Estates Dr, Houston, TX 77083","$400,000"
"1801 Sherwood Forest St, Houston, TX 77043","$10,000"
